2022 08 06 12 00 00,Doors and ticket office open,Info Point,https://www.ejc2022.org,40.6050924,-3.7056062
2022 08 06 12 00 00,Opening 24 hours Juggling Hall & 12 h Hall.,24 h hall,,40.605183,-3.7059604 
2022 08 06 12 00 00,Freestyle on Wheels Association Soul Wheel,Skate Park,,40.6108218,-3.7059581
2022 08 06 11 00 00,Local Public Pool Opening Hours,Public Pool,,40.611576,-3.7080473
2022 08 06 18 00 00,Freestyle on Wheels Association Soul Wheel,Skate Park,,40.6108218,-3.7059581
2022 08 06 18 00 00,Lightsaber Workshop,24 h Hall,,40.605183,-3.7059604 
2022 08 06 18 30 00,Free Tour starting from 24 h hall entry,24 h hall,,40.605183,-3.7059604 
2022 08 06 19 00 00,To the Wild Roots Sound System,The Arena,https://www.facebook.com/TOTHEWILDROOTS/,40.6008938,-3.707807
2022 08 06 20 00 00,Opening Performances,Nejapa Area,,40.6004936,-3.7071356
2022 08 06 21 00 00,Opening of the Renegade Board,Ferial Tent,,40.6008322,-3.7001405
2022 08 06 22 00 00,Sharin Tropikal,The Arena,,40.6008938,-3.707807
2022 08 07 00 00 01,Dj Rambla,The Arena,https://soundcloud.com/dj-rambla,40.6008938,-3.707807
2022 08 06 19 30 00,Dj Rambla,The Arena,https://soundcloud.com/dj-rambla,40.6008938,-3.707807
2022 08 07 10 00 00,Opening of Laura Oter 12 h Hall,12 h hall,,,
2022 08 07 12 00 00,Nejapa Area and Carmen Iglesias Acrohall,,,40.6004936,-3.7071356
2022 08 07 11 00 00,Open Assembly for Open Stage,Nejapa Area,,40.6004936,-3.7071356
2022 08 07 11 00 00,Freestyle on Wheels Association Soul Wheel,Skate Park,,40.6108218,-3.7059581
2022 08 07 16 00 00,Workshop Functional Juggling  by Quat Props,Park,,,
2022 08 07 17 00 00,Dance & Juggling Gandini Juggling,12 h Hall Laura Oter,,,
2022 08 07 18 00 00,Freestyle on Wheels Association Soul Wheel,Skate Park,,40.6108218,-3.7059581
2022 08 07 18 30 00,Parade,,,,
2022 08 07 20 00 00,Juggling Games,Football Field 24 h Hall,,,
2022 08 07 21 00 00,Dj Cucumber,The Arena,https://en.wikipedia.org/wiki/Bobbito_Garcia,40.6008938,-3.707807
2022 08 07 22 00 00,Special Show “Mediterranean”,Ferial Tent,,40.6008322,-3.7001405
2022 08 08 00 00 01,Renegade Activity Opening,Ferial Tent,,40.6008322,-3.7001405
2022 08 08 00 30 00,Sharin Tropikal,The Arena,,,
2022 08 08 10 00 00,Opening of Laura Oter 12 h Hall,12 h hall,,,
2022 08 08 12 00 00,Nejapa Area and Carmen Iglesias Acro Hall,,,40.6004936,-3.7071356
2022 08 08 12 00 00,Workshop Functional Juggling with Quat Props,Central Park,,,
2022 08 08 18 00 00,MMCC Global Photo Expo Presentation,Nejapa Area,,40.6004936,-3.7071356
2022 08 08 19 00 00,Dj Set,The Arena,,,
2022 08 08 19 00 00,Dance & Juggling Gandini Juggling,12 h Hall Laura Oter,,,
2022 08 08 20 00 00,Street show: OYÚN,Plaza Antonio Gala,,,
2022 08 08 21 00 00,Circanario Show,Ferial Tent,,40.6008322,-3.7001405
2022 08 08 22 30 00,Open Stage,Nejapa Tent,,40.6004936,-3.7071356
2022 08 08 23 00 00,Dj Set,The Arena,,,
2022 08 09 00 00 01,Renegade,Ferial Tent,,40.6008322,-3.7001405
2022 08 09 10 00 00,Opening of Laura Oter 12 h Hall,,,,
2022 08 09 11 00 00,Circus Pedagogy Games FEECSE,24 h Hall,,,
2022 08 09 11 00 00,GANDINI JUGGLING Lab Open Times,12 h Hall,,, 
2022 08 09 11 30 00,Spinning with balls workshop by Idoia,24 h hall,,,
2022 08 09 12 00 00,Nejapa Area and Carmen Iglesias Acro Hall,,,40.6004936,-3.7071356
2022 08 09 12 00 00,“How to bring the fun and heal traumas in the war zones” workshop by MMCC Global,24 h hall,,,
2022 08 09 14 00 00,Big Popular Paella,The Arena,,,
2022 08 09 17 00 00,EJA General Assembly,The Arena,,,
2022 08 09 20 00 00,Open Stage,Ferial Tent,,40.6008322,-3.7001405
2022 08 09 21 30 00,Show “Infinity” Seon Company,Nejapa Area,,40.6004936,-3.7071356
2022 08 09 23 30 00,Open Stage Fire Show,,,, 
2022 08 10 00 00 01,Team Format Renegade,Ferial Tent,,40.6008322,-3.7001405
2022 08 10 01 30 00,DJ  Set,The Arena,,,
2022 08 10 10 00 00,Opening of Laura Oter 12 h Hall,,,,
2022 08 10 11 30 00,Spinning with balls workshop by Idoia,24 h hall,,,
2022 08 10 12 00 00,Nejapa Area and Carmen Iglesias Acro Hall,,,40.6004936,-3.7071356
2022 08 10 12 00 00,Workshop Functional juggling with Quat Props,Park,,,
2022 08 10 14 00 00,Workshop Street Clown Show Bussiness with “Chacovachi”,,,,
2022 08 10 16 00 00,Phyisical Music Score Workshop by Macu Manchulini,Gym 24 h hall,,,
2022 08 10 17 00 00,Las artes circenses en el mapa del estallido social colombiano By Circ Quak,24 h hall,,,
2022 08 10 18 00 00,Performance Gandini Studio,Central Park,,,
2022 08 10 19 30 00,Diabolo Battle Qualifying Rounds,Laura Oter 12 h,,,
2022 08 10 19 30 00,Street show: “Copileft”,Antonio Gala Square,,,
2022 08 10 20 00 00,Open Stage , Ferial Tent,,40.6008322,-3.7001405
2022 08 10 21 30 00,Tribute Joseph Viatte,The Arena,,,
2022 08 10 22 00 00,Yo Yo Battle,Laura Oter 12 h hall,,,
2022 08 10 22 30 00,Special Show “With skirts and crazy”- Con faldas y a lo loco,Nejapa Tent,,40.6004936,-3.7071356
2022 08 11 00 00 01,Renegade “De Freaks”,Ferial Tent,,40.6008322,-3.7001405
2022 08 11 00 00 01,Dj Bubba & Friends,The Arena,,,
2022 08 11 10 00 00,Opening of Laura Oter 12 h Hall,,,,
2022 08 11 11 30 00,Spinning with balls workshop by Idoia,24 h hall,,,
2022 08 11 12 00 00,Nejapa Area and Carmen Iglesias Acro Hall,,,40.6004936,-3.7071356
2022 08 11 11 00 00,“Diabolo High Workshop” by Richard Climent / Very Strong low diabolo,24 h Hall,,,
2022 08 11 11 00 00,“Diabolo High Workshop” by Richard Climent / Very Strong low diabolo,24 h Hall,,,
2022 08 11 11 00 00,“Copyleft” Workshop by Nicanor Elia,12 h hall,,,
2022 08 11 16 00 00,Fight Night Qualifiers,La Luz 24h,,40.6055134,-3.7057226
2022 08 11 17 30 00,Conversatorio Social Circus,Nejapa Area,,40.6004936,-3.7071356
2022 08 11 19 00 00,“How to bring the fun and heal trauma in war zones” by MMCC Global,Carmen Iglesias Hall,,,
2022 08 11 19 30 00,Chacobache Street Show,The Arena,,,
2022 08 11 20 00 00,Open Stage , Ferial  Tent,,40.6008322,-3.7001405
2022 08 11 21 00 00,Reggae Sound System Night,The Arena,,,
2022 08 11 22 30 00,Show “Peu Dalt”,Nejapa Area,,40.6004936,-3.7071356
2022 08 11 23 00 00,Final Fight Night,La Luz 24h Hall,,40.6055134,-3.7057226
2022 08 12 00 00 01,Renegade,FerialTent,,40.6008322,-3.7001405
2022 08 12 00 30 00,Rapha Pico Show Reggae Sound System Night,The Arena,,,
2022 08 12 10 00 00,Opening of Laura Oter 12 h Hall,,,,
2022 08 12 11 00 00,“Diabolo High Workshop” by Richard Climent / Very Strong low diabolo,24 h Hall,,,
2022 08 12 11 00 00,“Copyleft” Workshop by Nicanor Elia,12 h hall,,,
2022 08 12 12 00 00,Nejapa Area and Carmen Iglesias AcroHall,,,40.6004936,-3.7071356
2022 08 12 12 00 00,Special workshops for families,Park kids Area,,,
2022 08 12 17 00 00,Workshop: Functional Juggling,Park,,,
2022 08 12 20 00 00,Street show  EndikaSalazar,Antonio Gala Square,,,
2022 08 12 20 30 00,Open Stage , Nejapa Area,,40.6004936,-3.7071356
2022 08 12 22 00 00,Final Diabolo Battle,Foresta Tent,,,
2022 08 12 23 00 00,Fire Gala,The Arena,,,
2022 08 13 00 00 01,Renegade,ForestaTent,,,
2022 08 13 10 00 00,Opening of Laura Oter 12 h Hall,,,,
2022 08 13 11 00 00,“Copyleft” Workshop by Nicanor Elia,12 h hall,,,
2022 08 13 12 00 00,Nejapa Area and Carmen Iglesias AcroHall,,,40.6004936,-3.7071356
2022 08 13 19 00 00,Grand Gala 1st Pass,,,,
2022 08 13 20 00 00,Street Show CIA “Acrocircus” Fundación Tchyminigagua Colombia,The Arena,,,
2022 08 13 21 15 00,Music Party ” Tropikalisima”,The Arena,,,
2022 08 13 22 00 00,Grand Gala 2nd Pass,,,,
2022 08 14 00 00 01,Trash Renegade,Foresta Tent,,,
